%time,field.ts,field.data0.task_name,field.data0.measure_tag,field.data0.data0,field.data0.data1,field.data0.data2,field.data0.data3,field.data0.data4,field.data0.data5,field.data0.data6,field.data0.data7,field.data0.data8,field.data0.data9,field.data0.data10,field.data0.data11,field.data0.data12,field.data0.data13,field.data0.data14,field.data0.data15,field.data0.data16,field.data0.data17
6745000000,6745000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6765000000,6765000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6786000000,6785000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6805000000,6805000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6825000000,6825000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6845000000,6845000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6862000000,6865000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6885000000,6885000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6905000000,6905000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6925000000,6925000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6945000000,6945000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6965000000,6965000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6985000000,6985000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7005000000,7005000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7026000000,7026000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7046000000,7046000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7067000000,7066000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7086000000,7086000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7114000000,7106000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7126000000,7126000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7146000000,7146000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7166000000,7166000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7186000000,7186000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7206000000,7206000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7226000000,7226000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7246000000,7246000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7266000000,7266000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7286000000,7286000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7306000000,7306000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7326000000,7326000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7346000000,7346000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7367000000,7367000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7388000000,7388000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7408000000,7408000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7431000000,7429000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7450000000,7449000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7469000000,7469000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7489000000,7489000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7509000000,7509000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7529000000,7529000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7549000000,7549000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7569000000,7569000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7589000000,7589000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7609000000,7609000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7629000000,7629000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7649000000,7649000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7674000000,7673000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7693000000,7693000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7714000000,7714000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7734000000,7734000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7754000000,7754000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7774000000,7774000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7795000000,7795000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7815000000,7815000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7835000000,7835000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7856000000,7856000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7877000000,7876000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7897000000,7896000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7911000000,7916000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7936000000,7936000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7956000000,7956000000,_qdot_,_qdot_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7976000000,7976000000,_qdot_,_qdot_,5.83201457729e-05,-5.74342725735e-05,5.81423582681e-05,-2.97347562146e-05,4.55147981455e-09,-1.47606874138e-05,-0.0,-0.0,-0.0,-5.96485260343e-05,-5.61955358729e-05,-5.95026632528e-05,-2.91473208084e-05,-5.45169602817e-08,-1.44796278645e-05,-0.0,-0.0,-0.0,geomproj1,e,0.0668142986758,geomproj1,de*,-0.000157682809343,geomproj1,J,-0.198098142743,0.195089065294,-0.197494245513,0.101001118961,-1.54601756571e-05,0.0501381593537,1.43042325598e-17,0.0,0.0,0.202610299892,0.190881403662,0.202114842521,0.0990057559284,0.000185179725405,0.0491834742447,-1.09175654125e-17,0.0,0.0,geomproj1,PM,0.0668142986758
7996000000,7996000000,_qdot_,_qdot_,0.00036808303425,-0.000362486350741,0.000366958853991,-0.000187662727726,2.8634755592e-08,-9.31582207443e-05,-0.0,-0.0,-0.0,-0.000376480313527,-0.000354657583355,-0.00037555811634,-0.000183951631204,-3.44816718836e-07,-9.13826953988e-05,-0.0,-0.0,-0.0,geomproj1,e,0.0668092653132,geomproj1,de*,-0.000563583261743,geomproj1,J,-0.198092651364,0.19508066284,-0.197487646983,0.100995166412,-1.5410475704e-05,0.0501353152045,-7.08797819658e-18,0.0,0.0,0.202611847201,0.190867425216,0.202115544821,0.0989979514326,0.000185571329599,0.0491797739529,1.4503966139e-17,0.0,0.0,geomproj1,PM,0.0668092653132
8016000000,8016000000,_qdot_,_qdot_,0.000691829336017,-0.000681297392379,0.000689714662885,-0.000352712021709,5.31796670233e-08,-0.000175091148518,-0.0,-0.0,-0.0,-0.000707637575257,-0.000666562823278,-0.00070590347457,-0.000345730233101,-6.49015661222e-07,-0.000171750898992,-0.0,-0.0,-0.0,geomproj1,e,0.0667961318547,geomproj1,de*,-0.000987732051944,geomproj1,J,-0.198076578272,0.195061193914,-0.197471129505,0.100984428873,-1.52257875306e-05,0.0501300736737,7.02670667303e-18,0.0,0.0,0.202602610595,0.190842562413,0.202106122932,0.0989854838652,0.00018581866181,0.049173732041,-3.62881851509e-18,0.0,0.0,geomproj1,PM,0.0667961318547
8036000000,8036000000,_qdot_,_qdot_,0.00116971634036,-0.00115188222656,0.00116614260581,-0.000596339575081,8.78598182032e-08,-0.000296031625845,-0.0,-0.0,-0.0,-0.00119648627895,-0.00112693668698,-0.00119355755884,-0.000584524936113,-1.09791195442e-06,-0.000290379359064,-0.0,-0.0,-0.0,geomproj1,e,0.0667730999111,geomproj1,de*,-0.00161365621907,geomproj1,J,-0.198047634429,0.195028095479,-0.197442556386,0.100967762941,-1.4875768215e-05,0.0501218639016,1.45792229722e-19,0.0,0.0,0.202580120493,0.190804503029,0.202084251478,0.0989673965114,0.000185890252091,0.0491648643056,-7.28674891432e-18,0.0,0.0,geomproj1,PM,0.0667730999111
8056000000,8056000000,_qdot_,_qdot_,0.00167754870739,-0.00165192288197,0.00167243483437,-0.000855232188253,1.21150965149e-07,-0.000424549917913,-0.0,-0.0,-0.0,-0.00171600117464,-0.00161610056364,-0.00171181451793,-0.000838275020761,-1.57350844164e-06,-0.000416437531178,-0.0,-0.0,-0.0,geomproj1,e,0.0667364726429,geomproj1,de*,-0.0022784241591,geomproj1,J,-0.198000945071,0.194976330865,-0.197397355032,0.100942989484,-1.42994391102e-05,0.0501095941991,-3.0123335153e-20,0.0,0.0,0.202539486827,0.190748225384,0.202045336056,0.0989415363075,0.000185721080497,0.0491520898159,2.54393735101e-17,0.0,0.0,geomproj1,PM,0.0667364726429
8076000000,8076000000,_qdot_,_qdot_,0.002300106278,-0.00226488821848,0.00229312343395,-0.00117261923515,1.56650535526e-07,-0.00058210541978,-0.0,-0.0,-0.0,-0.00235291088034,-0.00221570896842,-0.00234720235355,-0.0011493525881,-2.15317557673e-06,-0.000570974671708,-0.0,-0.0,-0.0,geomproj1,e,0.0666853024818,geomproj1,de*,-0.00309281755906,geomproj1,J,-0.197935275267,0.194904590827,-0.197334367746,0.100909559402,-1.34805366024e-05,0.0500929881373,-3.00746808991e-20,0.0,0.0,0.202479366815,0.190672478385,0.201988120462,0.0989073518386,0.000185291177435,0.0491351334049,1.78859109198e-17,0.0,0.0,geomproj1,PM,0.0666853024818
8096000000,8096000000,_qdot_,_qdot_,0.00293966773543,-0.00289452992515,0.0029307995728,-0.00149869238806,1.83990774791e-07,-0.000743972117546,-0.0,-0.0,-0.0,-0.00300725966715,-0.0028315971641,-0.00300002390094,-0.0014689381459,-2.74230628917e-06,-0.000729737739003,-0.0,-0.0,-0.0,geomproj1,e,0.0666173934186,geomproj1,de*,-0.00392850818416,geomproj1,J,-0.197847714426,0.194809815792,-0.197250862718,0.100866114912,-1.23830846014e-05,0.0500713673449,2.21272569789e-30,0.0,0.0,0.202396837118,0.190574268085,0.201909850174,0.0988635726739,0.000184564746903,0.0491133545644,1.45575913155e-17,0.0,0.0,geomproj1,PM,0.0666173934186
8116000000,8116000000,_qdot_,_qdot_,0.00362820685091,-0.00357231017317,0.00361735655082,-0.00184976512599,2.01669116404e-07,-0.000918247748493,-0.0,-0.0,-0.0,-0.00371175814468,-0.00349454290255,-0.00370292708188,-0.00181302377692,-3.36740037623e-06,-0.000900670640798,-0.0,-0.0,-0.0,geomproj1,e,0.0665317648891,geomproj1,de*,-0.0048269844094,geomproj1,J,-0.197736956787,0.194690592727,-0.197145616379,0.100812037961,-1.09909492469e-05,0.050044422169,7.07189638666e-18,0.0,0.0,0.202290495007,0.190452283265,0.201809202855,0.0988096376424,0.000183523026674,0.0490864713334,-7.34734513017e-18,0.0,0.0,geomproj1,PM,0.0665317648891
8137000000,8136000000,_qdot_,_qdot_,0.00433654272229,-0.00426947877258,0.00432371777285,-0.00221097572365,2.04260597178e-07,-0.00109755421192,-0.0,-0.0,-0.0,-0.00443656044859,-0.00417641555856,-0.00442615426342,-0.00216704221048,-3.99785483941e-06,-0.00107653605909,-0.0,-0.0,-0.0,geomproj1,e,0.0664285762514,geomproj1,de*,-0.00574969070948,geomproj1,J,-0.197603077001,0.19454717656,-0.197018683018,0.10074744656,-9.30753484911e-06,0.0500122109568,-6.96326181097e-18,0.0,0.0,0.202160580924,0.190306568632,0.201686402682,0.0987455298392,0.000182170099146,0.0490544775876,-3.57628749792e-18,0.0,0.0,geomproj1,PM,0.0664285762514
8156000000,8156000000,_qdot_,_qdot_,0.00510781513517,-0.0050284787888,0.00509291679272,-0.00260433440937,1.8912392244e-07,-0.00129281698144,-0.0,-0.0,-0.0,-0.00522580117377,-0.00491873543757,-0.00521375790384,-0.00255257155408,-4.6689984326e-06,-0.00126805261732,-0.0,-0.0,-0.0,geomproj1,e,0.0663064975426,geomproj1,de*,-0.00675253950372,geomproj1,J,-0.197444340466,0.194377566871,-0.196868439945,0.100671437043,-7.31064988537e-06,0.0499742824454,2.9724235199e-20,0.0,0.0,0.202005131129,0.190135400107,0.201539594412,0.0986705261741,0.000180481730792,0.0490170074832,7.26233873042e-18,0.0,0.0,geomproj1,PM,0.0663064975426
8176000000,8176000000,_qdot_,_qdot_,0.00590079804588,-0.0058086896502,0.00588387601767,-0.00300884432839,1.48540484013e-07,-0.00149361211591,-0.0,-0.0,-0.0,-0.00603730674505,-0.00568176581678,-0.0060236898889,-0.00294903553779,-5.33727676473e-06,-0.00146499745453,-0.0,-0.0,-0.0,geomproj1,e,0.0661633866029,geomproj1,de*,-0.00778105399045,geomproj1,J,-0.197257828796,0.194178736442,-0.196692142169,0.100582683018,-4.96556112187e-06,0.0499299723116,-6.90547080357e-18,0.0,0.0,0.201821179278,0.189935798519,0.201365981276,0.0985833344411,0.000178419871025,0.0489734125493,-1.8165305391e-17,0.0,0.0,geomproj1,PM,0.0661633866029
8196000000,8196000000,_qdot_,_qdot_,0.00674484036929,-0.00663897505808,0.00672588445197,-0.00343949200544,7.79400880354e-08,-0.0017073782471,-0.0,-0.0,-0.0,-0.00690111066687,-0.00649373526355,-0.00688594034353,-0.00337112423188,-6.02417757348e-06,-0.0016746672181,-0.0,-0.0,-0.0,geomproj1,e,0.0659994681817,geomproj1,de*,-0.00887298993216,geomproj1,J,-0.197043675275,0.193950927506,-0.196489897363,0.100481272903,-2.27694067715e-06,0.0498793250058,7.01297914711e-18,0.0,0.0,0.201608953634,0.189707894114,0.201165768013,0.0984839776908,0.00017599024211,0.0489237054474,1.09999705376e-17,0.0,0.0,geomproj1,PM,0.0659994681817
8216000000,8216000000,_qdot_,_qdot_,0.00756466688103,-0.00744520855105,0.00754390620529,-0.00385791463778,-2.95628862669e-08,-0.00191507100785,-0.0,-0.0,-0.0,-0.00774019611429,-0.00728213809265,-0.00772368950796,-0.00378124118764,-6.65662551815e-06,-0.00187838405237,-0.0,-0.0,-0.0,geomproj1,e,0.0658138501266,geomproj1,de*,-0.00992961372097,geomproj1,J,-0.196800569081,0.193692769665,-0.196260464294,0.100366586939,7.6910099711e-07,0.0498220305142,-1.42244537483e-17,0.0,0.0,0.201367095743,0.189450367518,0.20093766381,0.0983718687504,0.000173177181591,0.0488675914318,1.07662749914e-17,0.0,0.0,geomproj1,PM,0.0658138501266
8236000000,8236000000,_qdot_,_qdot_,0.00842473234427,-0.00829080545448,0.00840224004914,-0.00429700278416,-1.78665543146e-07,-0.00213301655127,-0.0,-0.0,-0.0,-0.00862051346724,-0.00810900041115,-0.00860276810956,-0.00421162540161,-7.28685352829e-06,-0.00209216224487,-0.0,-0.0,-0.0,geomproj1,e,0.0656067575147,geomproj1,de*,-0.0110343846437,geomproj1,J,-0.196528632258,0.193404441792,-0.196003941406,0.100238683613,4.16783505888e-06,0.0497581179171,2.20059501107e-30,0.0,0.0,0.201095732405,0.189163369786,0.200681776123,0.0982470357442,0.000169984671187,0.0488050857458,-1.44202057613e-17,0.0,0.0,geomproj1,PM,0.0656067575147
8256000000,8256000000,_qdot_,_qdot_,0.00940352483888,-0.00925294781283,0.00937920598502,-0.00479681753417,-3.8010376556e-07,-0.00238109978793,-0.0,-0.0,-0.0,-0.00962237430127,-0.00904981786116,-0.00960336369182,-0.00470155386175,-7.97414279289e-06,-0.0023355112388,-0.0,-0.0,-0.0,geomproj1,e,0.0653773747069,geomproj1,de*,-0.0122884138082,geomproj1,J,-0.19622667484,0.193084530843,-0.195719204726,0.10009688608,7.93175955699e-06,0.0496872504572,-7.0519447359e-18,0.0,0.0,0.200793483886,0.188845746381,0.200396782783,0.0981089853733,0.000166399254722,0.0487359380971,3.59165384168e-18,0.0,0.0,geomproj1,PM,0.0653773747069
8276000000,8276000000,_qdot_,_qdot_,0.0102226910643,-0.0100577066179,0.0101972089639,-0.00521540798137,-6.30952985075e-07,-0.00258885613615,-0.0,-0.0,-0.0,-0.0104609608162,-0.00983666030644,-0.010441259824,-0.00511189102223,-8.47431672152e-06,-0.00253931355426,-0.0,-0.0,-0.0,geomproj1,e,0.065123780546,geomproj1,de*,-0.0133295086407,geomproj1,J,-0.195891818877,0.192730312471,-0.195403519372,0.0999400010461,1.20906057999e-05,0.0496088294299,2.09691373581e-17,0.0,0.0,0.200457651377,0.18849452331,0.200080132075,0.0979563623658,0.000162388680816,0.048659472121,-3.51232336165e-18,0.0,0.0,geomproj1,PM,0.065123780546
